Medicare Adminstrative Contractor	Locality Number	State 	Fee Schedule Area 	Counties	
10112	00	ALABAMA 	STATEWIDE 	ALL COUNTIES 	
02102	01	ALASKA 	STATEWIDE 	ALL COUNTIES 	
03102	00	ARIZONA 	STATEWIDE 	ALL COUNTIES 	
07102	13	ARKANSAS 	STATEWIDE 	ALL COUNTIES 	
01182	26	CALIFORNIA 	LOS ANGELES-LONG BEACH-ANAHEIM (ORANGE CNTY)	ORANGE 	
01182	18	CALIFORNIA 	LOS ANGELES-LONG BEACH-ANAHEIM (LOS ANGELES CNTY)	LOS ANGELES 	
01112	52	CALIFORNIA 	SAN FRANCISCO-OAKLAND-BERKELEY (MARIN CNTY)	MARIN	
01112	07	CALIFORNIA 	SAN FRANCISCO-OAKLAND-BERKELEY (ALAMEDA/CONTRA COSTA CNTY)	ALAMEDA AND CONTRA COSTA	
01112	05	CALIFORNIA 	SAN FRANCISCO-OAKLAND-BERKELEY (SAN FRANCISCO CNTY)	SAN FRANCISCO 	
01112	06	CALIFORNIA 	SAN FRANCISCO-OAKLAND-BERKELEY (SAN MATEO CNTY)	SAN MATEO 	
01112	09	CALIFORNIA 	SAN JOSE-SUNNYVALE-SANTA CLARA (SANTA CLARA CNTY)	SANTA CLARA 	
01112	51	CALIFORNIA 	NAPA	NAPA	
01112	53	CALIFORNIA 	VALLEJO	SOLANO	
01112	54	CALIFORNIA 	BAKERSFIELD	KERN	
01112	55	CALIFORNIA 	CHICO	BUTTE	
01112	56	CALIFORNIA 	FRESNO	FRESNO	
01112	57	CALIFORNIA 	HANFORD-CORCORAN	KINGS	
01112	58	CALIFORNIA 	MADERA	MADERA	
01112	59	CALIFORNIA	MERCED	MERCED	
01112	60	CALIFORNIA	MODESTO	STANISLAUS	
01112	61	CALIFORNIA	REDDING	SHASTA	
01112	62	CALIFORNIA	RIVERSIDE-SAN BERNARDINO-ONTARIO	"SAN BERNARDINO, RIVERSIDE"	
01112	63	CALIFORNIA	SACRAMENTO-ROSEVILLE-FOLSOM	"SACRAMENTO, PLACER, YOLO, EL DORADO"	
01112	64	CALIFORNIA	SALINAS	MONTEREY	
01112	65	CALIFORNIA	SAN JOSE-SUNNYVALE-SANTA CLARA (SAN BENITO CNTY)	SAN BENITO	
01112	66	CALIFORNIA	SANTA CRUZ-WATSONVILLE	SANTA CRUZ	
01112	67	CALIFORNIA	SANTA ROSA-PETALUMA	SONOMA	
01112	68	CALIFORNIA	STOCKTON	SAN JOAQUIN	
